Removed Pin From Net: NetName=NetC6_1 Pin=Y1-1
Removed Pin From Net: NetName=NetC5_1 Pin=Y1-2
Change Component Footprint: Designator=R1 Old Footprint=14-1210 New Footprint=12Z-2010
Change Component Footprint: Designator=R4 Old Footprint=14-1210 New Footprint=12Z-2010
Change Component Footprint: Designator=R5 Old Footprint=14-1210 New Footprint=12Z-2010
Change Component Description : Designator=C1 Old Description=C? New Description=
Change Component Description : Designator=C2 Old Description=C? New Description=
Change Component Description : Designator=U1 Old Description=U? New Description=
Change Component Description : Designator=U2 Old Description=U? New Description=
Change Component Description : Designator=U3 Old Description=U? New Description=
Change Component Description : Designator=U4 Old Description=U? New Description=
Change Net Name : Old Net Name=KEY_0 New Net Name=KEY_1
Change Net Name : Old Net Name=KEY_1 New Net Name=KEY_0
Change Net Name : Old Net Name=NetD1_1 New Net Name=NetLED1_1
Change Net Name : Old Net Name=NetD1_2 New Net Name=NetLED8_2
Change Net Name : Old Net Name=NetD2_2 New Net Name=NetLED7_2
Change Net Name : Old Net Name=NetD3_2 New Net Name=NetLED6_2
Change Net Name : Old Net Name=NetD4_2 New Net Name=NetLED5_2
Change Net Name : Old Net Name=NetD6_2 New Net Name=NetLED4_2
Change Net Name : Old Net Name=NetD7_2 New Net Name=NetLED3_2
Change Net Name : Old Net Name=NetD8_2 New Net Name=NetLED2_2
Change Net Name : Old Net Name=NetD9_2 New Net Name=NetLED1_2
Change Net Name : Old Net Name=NetP1_3 New Net Name=Net1602_3
Change Net Name : Old Net Name=USB_D_N New Net Name=USB_D-
Change Net Name : Old Net Name=USB_D_P New Net Name=USB_D+
